# three_species_cycle_noise_sweep_v5 — ONE cyclic community, FIVE environmental
# noise levels (the researcher's own buffeting knob; level 3 = their baseline run).
# columns: level (1..5, ordered low->high noise), noise_rel (relative buffeting
#          amplitude, normalized to the baseline level 3 = 1.0x), tau (community
#          clock — a lag for the two-point columns, elapsed time for the winding
#          columns), C (normalized rotation-plane autocorr), chi (integrated
#          response), Cxy / Cyx (the two directed cross-correlations between the
#          two community-rotation axes), phiMean / phiVar (mean and variance of
#          the cumulative net turnover angle up to elapsed tau, across sub-windows).
# All columns dimensionless (angle in radians). Five operating points (a sweep).
# Generated by the community's own linear NESS propagator + per-level sim — not via conform.
level,noise_rel,tau,C,chi,Cxy,Cyx,phiMean,phiVar
2,0.5000,14.078284,-0.000000,0.401912,-0.000001,0.000001,14.412447,189.791728
2,0.5000,14.382362,-0.000000,0.401912,-0.000000,0.000000,14.676985,193.498721
2,0.5000,14.686440,-0.000000,0.401912,-0.000000,0.000000,14.997055,196.732227
2,0.5000,14.990518,-0.000000,0.401912,-0.000000,0.000000,15.280355,201.061970
2,0.5000,15.294596,-0.000000,0.401912,0.000000,-0.000000,15.632092,204.445700
2,0.5000,15.598675,-0.000000,0.401912,0.000000,-0.000000,15.897084,208.061328
2,0.5000,15.902753,-0.000000,0.401912,0.000000,-0.000000,16.102190,211.815289
2,0.5000,16.206831,-0.000000,0.401912,0.000000,-0.000000,16.434400,214.147286
2,0.5000,16.510909,-0.000000,0.401912,0.000000,-0.000000,16.767800,216.673359
2,0.5000,16.814987,0.000000,0.401912,0.000000,-0.000000,17.064089,219.842241
2,0.5000,17.119065,0.000000,0.401912,0.000000,-0.000000,17.360199,225.135895
2,0.5000,17.423143,0.000000,0.401912,0.000000,-0.000000,17.755093,228.555525
2,0.5000,17.727221,0.000000,0.401912,0.000000,-0.000000,18.130863,230.211199
2,0.5000,18.031300,0.000000,0.401912,0.000000,-0.000000,18.457986,234.651377
2,0.5000,18.335378,0.000000,0.401912,-0.000000,0.000000,18.780635,244.484560
2,0.5000,18.639456,0.000000,0.401912,-0.000000,0.000000,19.096822,246.525345
2,0.5000,18.943534,0.000000,0.401912,-0.000000,0.000000,19.507545,251.602416
2,0.5000,19.247612,0.000000,0.401912,-0.000000,0.000000,19.879745,257.141165
2,0.5000,19.551690,0.000000,0.401912,-0.000000,0.000000,20.258026,261.782220
2,0.5000,19.855768,-0.000000,0.401912,-0.000000,0.000000,20.582564,264.613062
2,0.5000,20.159846,-0.000000,0.401912,-0.000000,0.000000,20.976014,279.130100
2,0.5000,20.463925,-0.000000,0.401912,-0.000000,0.000000,21.324144,286.294056
2,0.5000,20.768003,-0.000000,0.401912,-0.000000,0.000000,21.681415,289.781024
2,0.5000,21.072081,-0.000000,0.401912,-0.000000,0.000000,21.959501,293.709980
2,0.5000,21.376159,-0.000000,0.401912,0.000000,-0.000000,22.264446,299.712058
2,0.5000,21.680237,-0.000000,0.401912,0.000000,-0.000000,22.632359,303.975756
2,0.5000,21.984315,-0.000000,0.401912,0.000000,-0.000000,22.949543,306.671316
2,0.5000,22.288393,-0.000000,0.401912,0.000000,-0.000000,23.217826,311.322189
2,0.5000,22.592471,-0.000000,0.401912,0.000000,-0.000000,23.581508,316.825108
2,0.5000,22.896550,0.000000,0.401912,0.000000,-0.000000,23.885748,316.503994
2,0.5000,23.200628,0.000000,0.401912,0.000000,-0.000000,24.131304,319.647947
2,0.5000,23.504706,0.000000,0.401912,0.000000,-0.000000,24.397650,323.243661
2,0.5000,23.808784,0.000000,0.401912,0.000000,-0.000000,24.708898,327.038015
2,0.5000,24.112862,0.000000,0.401912,0.000000,-0.000000,24.998294,332.467138
2,0.5000,24.416940,0.000000,0.401912,-0.000000,0.000000,25.330385,332.416124
2,0.5000,24.721018,0.000000,0.401912,-0.000000,0.000000,25.648312,339.720908
2,0.5000,25.025097,0.000000,0.401912,-0.000000,0.000000,25.972397,342.647075
2,0.5000,25.329175,0.000000,0.401912,-0.000000,0.000000,26.337002,345.857109
2,0.5000,25.633253,0.000000,0.401912,-0.000000,0.000000,26.650565,351.191491
2,0.5000,25.937331,-0.000000,0.401912,-0.000000,0.000000,27.009621,360.424165
2,0.5000,26.241409,-0.000000,0.401912,-0.000000,0.000000,27.321659,365.048459
2,0.5000,26.545487,-0.000000,0.401912,-0.000000,0.000000,27.641828,370.212624
2,0.5000,26.849565,-0.000000,0.401912,-0.000000,0.000000,27.982320,371.775164
2,0.5000,27.153643,-0.000000,0.401912,-0.000000,0.000000,28.354259,374.478405
2,0.5000,27.457722,-0.000000,0.401912,0.000000,-0.000000,28.662943,376.608353
2,0.5000,27.761800,-0.000000,0.401912,0.000000,-0.000000,29.023385,381.930228
2,0.5000,28.065878,-0.000000,0.401912,0.000000,-0.000000,29.307954,384.524650
2,0.5000,28.369956,-0.000000,0.401912,0.000000,-0.000000,29.635648,384.516383
2,0.5000,28.674034,-0.000000,0.401912,0.000000,-0.000000,29.898813,386.336243
2,0.5000,28.978112,0.000000,0.401912,0.000000,-0.000000,30.159993,388.268905
2,0.5000,29.282190,0.000000,0.401912,0.000000,-0.000000,30.564656,395.580144
2,0.5000,29.586268,0.000000,0.401912,0.000000,-0.000000,30.874781,398.057814
2,0.5000,29.890347,0.000000,0.401912,0.000000,-0.000000,31.246671,402.599636
2,0.5000,30.194425,0.000000,0.401912,0.000000,-0.000000,31.527208,409.650103
2,0.5000,30.498503,0.000000,0.401912,-0.000000,0.000000,31.870895,411.682851
2,0.5000,30.802581,0.000000,0.401912,-0.000000,0.000000,32.225779,413.657459
2,0.5000,31.106659,0.000000,0.401912,-0.000000,0.000000,32.582334,418.286996
2,0.5000,31.410737,0.000000,0.401912,-0.000000,0.000000,32.970743,423.151853
2,0.5000,31.714815,0.000000,0.401912,-0.000000,0.000000,33.261164,422.688047
2,0.5000,32.018893,-0.000000,0.401912,-0.000000,0.000000,33.645663,427.762586
2,0.5000,32.322972,-0.000000,0.401912,-0.000000,0.000000,33.973957,432.066793
2,0.5000,32.627050,-0.000000,0.401912,-0.000000,0.000000,34.291987,436.026103
2,0.5000,32.931128,-0.000000,0.401912,-0.000000,0.000000,34.546381,440.819215
2,0.5000,33.235206,-0.000000,0.401912,-0.000000,0.000000,34.839921,443.125933
2,0.5000,33.539284,-0.000000,0.401912,0.000000,-0.000000,35.121700,446.818860
2,0.5000,33.843362,-0.000000,0.401912,0.000000,-0.000000,35.471213,446.032502
2,0.5000,34.147440,-0.000000,0.401912,0.000000,-0.000000,35.829449,448.574530
2,0.5000,34.451519,-0.000000,0.401912,0.000000,-0.000000,36.158207,452.604238
2,0.5000,34.755597,-0.000000,0.401912,0.000000,-0.000000,36.470899,455.383094
2,0.5000,35.059675,0.000000,0.401912,0.000000,-0.000000,36.840602,461.811533
2,0.5000,35.363753,0.000000,0.401912,0.000000,-0.000000,37.185726,464.799695
2,0.5000,35.667831,0.000000,0.401912,0.000000,-0.000000,37.491576,467.794282
2,0.5000,35.971909,0.000000,0.401912,0.000000,-0.000000,37.779823,469.932281
2,0.5000,36.275987,0.000000,0.401912,-0.000000,0.000000,38.162998,473.737251
3,1.0000,0.090690,0.909248,0.000000,-0.085949,0.085949,0.100411,1.897213
3,1.0000,0.394768,0.617921,0.232189,-0.268755,0.268755,0.401622,4.913646
3,1.0000,0.698846,0.371706,0.382651,-0.330153,0.330153,0.681216,10.015494
3,1.0000,1.002924,0.184966,0.467287,-0.316755,0.316755,0.981557,12.525561
3,1.0000,1.307002,0.057082,0.504088,-0.264542,0.264542,1.334120,17.594484
3,1.0000,1.611081,-0.020627,0.509631,-0.198603,0.198603,1.570365,25.585416
3,1.0000,1.915159,-0.060003,0.497372,-0.134545,0.134545,1.882307,29.938946
3,1.0000,2.219237,-0.072928,0.477161,-0.080594,0.080594,2.162887,33.154863
3,1.0000,2.523315,-0.069622,0.455488,-0.039797,0.039797,2.492036,36.344947
3,1.0000,2.827393,-0.057949,0.436092,-0.011945,0.011945,2.739050,38.801599
3,1.0000,3.131471,-0.043376,0.420687,0.004911,-0.004911,3.100258,44.142048
3,1.0000,3.435549,-0.029293,0.409638,0.013389,-0.013389,3.368496,46.455621
3,1.0000,3.739628,-0.017472,0.402528,0.016106,-0.016106,3.641076,51.063387
3,1.0000,4.043706,-0.008560,0.398571,0.015301,-0.015301,4.048905,56.209878
3,1.0000,4.347784,-0.002494,0.396890,0.012693,-0.012693,4.347939,60.043187
3,1.0000,4.651862,0.001161,0.396687,0.009473,-0.009473,4.662197,62.889453
3,1.0000,4.955940,0.002986,0.397318,0.006377,-0.006377,5.029786,67.854347
3,1.0000,5.260018,0.003556,0.398313,0.003787,-0.003787,5.354636,71.305927
3,1.0000,5.564096,0.003362,0.399364,0.001840,-0.001840,5.717820,73.065490
3,1.0000,5.868174,0.002780,0.400298,0.000520,-0.000520,6.070639,77.437106
3,1.0000,6.172253,0.002069,0.401035,-0.000273,0.000273,6.470937,81.563431
3,1.0000,6.476331,0.001388,0.401561,-0.000666,0.000666,6.849843,83.972529
3,1.0000,6.780409,0.000821,0.401897,-0.000785,0.000785,7.185436,87.658457
3,1.0000,7.084487,0.000396,0.402082,-0.000739,0.000739,7.504686,91.019887
3,1.0000,7.388565,0.000108,0.402158,-0.000609,0.000609,7.796652,94.549876
3,1.0000,7.692643,-0.000064,0.402165,-0.000452,0.000452,8.064607,98.516156
3,1.0000,7.996721,-0.000148,0.402133,-0.000302,0.000302,8.451212,102.728651
3,1.0000,8.300799,-0.000173,0.402084,-0.000178,0.000178,9.287648,508.680805
3,1.0000,8.604878,-0.000162,0.402033,-0.000085,0.000085,9.613819,512.035381
3,1.0000,8.908956,-0.000133,0.401988,-0.000022,0.000022,9.932423,521.839834
3,1.0000,9.213034,-0.000099,0.401953,0.000015,-0.000015,10.307415,526.719491
3,1.0000,9.517112,-0.000066,0.401928,0.000033,-0.000033,10.556213,532.214937
3,1.0000,9.821190,-0.000039,0.401912,0.000038,-0.000038,10.937526,534.988703
3,1.0000,10.125268,-0.000018,0.401903,0.000036,-0.000036,11.219605,538.057208
3,1.0000,10.429346,-0.000005,0.401900,0.000029,-0.000029,11.521259,543.640806
3,1.0000,10.733424,0.000003,0.401899,0.000022,-0.000022,11.791188,546.389819
3,1.0000,11.037503,0.000007,0.401901,0.000014,-0.000014,11.954231,558.666115
3,1.0000,11.341581,0.000008,0.401904,0.000008,-0.000008,12.319718,564.595777
3,1.0000,11.645659,0.000008,0.401906,0.000004,-0.000004,12.590700,570.648223
