# coupling_ramp_v7 — ONE matched (mutual-interaction) three-population
#   community observed at FIVE increasing interaction-strength settings.
# 'level' is a neutral 0..4 index = how far the strength knob was turned up
#   (the strength magnitudes themselves are NOT in the file).
# columns: level, tau (the community's own clock — a lag for the two-point
#   columns, an elapsed time for the winding columns), C (normalized
#   turnover-plane autocorr), chi (integrated response), Cxy / Cyx (the two
#   directed cross-correlations), phiMean / phiVar (mean & variance of the
#   cumulative net turnover angle). Each level has its OWN settling window.
# All columns dimensionless (angle in radians). Five operating points.
# Generated by the community's own exact linear propagator + sim — not via conform.
level,tau,C,chi,Cxy,Cyx,phiMean,phiVar
2,23.570588,0.008071,2.668007,0.008071,0.008071,-0.006520,236.191151
2,23.905882,0.007548,2.669462,0.007548,0.007548,0.035473,235.508014
2,24.241176,0.007058,2.670822,0.007058,0.007058,0.011279,238.064439
2,24.576471,0.006600,2.672094,0.006600,0.006600,-0.018892,239.821729
2,24.911765,0.006172,2.673284,0.006172,0.006172,-0.024708,240.687278
2,25.247059,0.005772,2.674396,0.005772,0.005772,-0.008233,241.350514
2,25.582353,0.005397,2.675436,0.005397,0.005397,-0.138373,284.337455
2,25.917647,0.005047,2.676409,0.005047,0.005047,-0.137931,283.935583
2,26.252941,0.004720,2.677319,0.004720,0.004720,-0.115310,290.763377
2,26.588235,0.004414,2.678169,0.004414,0.004414,-0.007694,293.262852
2,26.923529,0.004128,2.678965,0.004128,0.004128,0.033211,295.114926
2,27.258824,0.003860,2.679709,0.003860,0.003860,0.031522,297.264648
2,27.594118,0.003610,2.680405,0.003610,0.003610,0.005905,299.477491
2,27.929412,0.003375,2.681055,0.003375,0.003375,0.016760,299.906478
2,28.264706,0.003156,2.681663,0.003156,0.003156,-0.004804,308.544674
2,28.600000,0.002952,2.682232,0.002952,0.002952,-0.031363,308.746689
2,28.935294,0.002760,2.682764,0.002760,0.002760,-0.078578,312.878754
2,29.270588,0.002581,2.683262,0.002581,0.002581,-0.085039,315.047454
2,29.605882,0.002414,2.683727,0.002414,0.002414,-0.162523,317.187459
